college,state,students,privateorpublic,acceptance_rate,city,address,zip,urbanicity,website,school_type,graduation_rate,GPA,Division,tuition,fields_of_study_json,student_faculty_ratio,race_ethnicity_json,sat_score,act_score
University of East-West Medicine,カリフォルニア州(CA),,営利,,Sunnyvale,595 Lawrence Expressway,94085-3922,都市部,www.uewm.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Blake Austin College,カリフォルニア州(CA),18,営利,,Vacaville,611 Orange Dr Ste K,95687,郊外,www.blakeaustincollege.edu/,2年制,0.8402,N/A,N/A,N/A,N/A,,,,
Aviator College of Aeronautical Science and Technology,フロリダ州(FL),160,営利,,Fort Pierce,3800 St Lucie Blvd,34946,郊外,www.aviator.edu/,2年制,0.6406,N/A,N/A,N/A,N/A,,,,
Trendsetters School of Beauty & Barbering,フロリダ州(FL),18,営利,,Jacksonville,5486 Normandy Blvd.,32205,都市部,trendsettersjax.com/,2年制,0.7692,N/A,N/A,N/A,N/A,,,,
American Institute of Beauty,フロリダ州(FL),153,営利,,Largo,3665 East Bay Drive Suite 164,33771,郊外,www.aibschool.edu/,2年制,0.6978,N/A,N/A,N/A,N/A,,,,
North Florida Cosmetology Institute,フロリダ州(FL),86,営利,,Tallahassee,2424 Allen Rd,32312,都市部,cosmetologyinst.com/,2年制,0.6115,N/A,N/A,N/A,N/A,,,,
Florida Academy of Health & Beauty,フロリダ州(FL),68,営利,,Oakland Park,2901 West Oakland Park Blvd B16,33311,郊外,flacademyofbeauty.edu/,2年制,0.697,N/A,N/A,N/A,N/A,,,,
Augusta School of Massage,ジョージア州(GA),41,営利,,Evans,608 Ponder Place Dr,30809,郊外,www.augustamassage.com/,2年制,0.7334,N/A,N/A,N/A,N/A,,,,
ATA College,ケンタッキー州(KY),264,営利,,Louisville,10200 Linn Station Rd Ste 125,40223,郊外,www.ata.edu/,4年制,0.4314,N/A,N/A,N/A,N/A,,,,
SUM Bible College and Theological Seminary,カリフォルニア州(CA),416,私立,0.835,El Dorado Hills,1101 Investment Blvd. #200,95762,郊外,www.sum.edu/,N/A,0.3392,N/A,N/A,N/A,N/A,,,,
Compass Career College,ルイジアナ州(LA),142,営利,,Hammond,"42353 Deluxe Plaza, Suite 16",70403,郊外,www.compasscareercollege.net/,2年制,0.4286,N/A,N/A,N/A,N/A,,,,
Nuvo College of Cosmetology,ミシガン州(MI),58,営利,,Norton Shores,919 w Norton Ave,49441,都市部,www.tcbeautycollege.com/,2年制,0.4412,N/A,N/A,N/A,N/A,,,,
WellSpring School of Allied Health-Kansas City,ミズーリ州(MO),168,営利,,Kansas City,9140 Ward Pkwy Ste 100,64114-3313,都市部,www.wellspring.edu/,2年制,0.6725,N/A,N/A,N/A,N/A,,,,
The Salon Professional Academy-Fargo,ノースダコタ州(ND),122,営利,,Fargo,4377 15th Ave South,58103,都市部,www.tspafargo.com/,2年制,0.8283,N/A,N/A,N/A,N/A,,,,
Aveda Arts & Sciences Institute-New York,ニューヨーク州(NY),126,営利,,New York,233 Spring St,10013,都市部,avedaarts.edu/,2年制,0.6522,N/A,N/A,N/A,N/A,,,,
MyrAngel Beauty Institute,プエルトリコ(PR),209,営利,,San Lorenzo,57 Calle Munoz Rivera Sur,754,郊外,myrangelbeautyinstitute.com/,2年制,0.6301,N/A,N/A,N/A,N/A,,,,
Texas Health School,テキサス州(TX),109,営利,,Houston,11511 Katy Fwy Ste 200,77079,都市部,ths.edu/,2年制,0.6552,N/A,N/A,N/A,N/A,,,,
Paul Mitchell the School-Logan,ユタ州(UT),143,営利,,Logan,"1300 N Main Street, Suite 1136",84341,都市部,paulmitchell.edu/logan,2年制,0.6957,N/A,N/A,N/A,N/A,,,,
Careers Unlimited,ユタ州(UT),118,営利,,Orem,1176 South 1480 West,84058,都市部,www.ucdh.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Mountainland Technical College,ユタ州(UT),2338,州立,,Lehi,2301 West Ashton Blvd.,84043,都市部,https://mtec.edu/,2年制,0.7132,N/A,N/A,N/A,N/A,,,,
Avi Career Training,バージニア州(VA),17,営利,,Great Falls,10130-a Colvin Run Rd,22066,郊外,www.avicareertraining.com/,2年制,0.9524,N/A,N/A,N/A,N/A,,,,
Mountain State School of Massage,ウェストバージニア州(WV),19,営利,,Charleston,601 50th St,25304,都市部,www.mtnstmassage.com/,2年制,0.8125,N/A,N/A,N/A,N/A,,,,
San Joaquin Valley College-Rancho Cordova,カリフォルニア州(CA),189,営利,,Rancho Cordova,11050 Olson Drive,95670-5642,都市部,www.sjvc.edu/,4年制,0.8302,N/A,N/A,N/A,N/A,,,,
Broken Arrow Beauty College,オクラホマ州(OK),56,営利,,Tulsa,11122 E 71st St,74133,都市部,www.babeautycollege.com/,2年制,0.8929,N/A,N/A,N/A,N/A,,,,
Universal Technical Institute of Northern California Inc,カリフォルニア州(CA),1140,営利,,Sacramento,4100 Duckhorn Drive,95834,都市部,www.uti.edu/,4年制,0.4904,N/A,N/A,N/A,N/A,,,,
Lemoore College,カリフォルニア州(CA),3004,州立,,Lemoore,555 College Avenue,93245,田舎,https://www.westhillscollege.com/lemoore/,4年制,0.4004,N/A,N/A,N/A,N/A,,,,
Stautzenberger College-Brecksville,オハイオ州(OH),198,営利,,Brecksville,8001 Katherine Boulevard,44141,郊外,https://www.sctoday.edu/,4年制,0.5526,N/A,N/A,N/A,N/A,,,,
Unitech Training Academy-Houma,ルイジアナ州(LA),80,営利,,Houma,6007 West Park Avenue,70364,都市部,www.unitechta.edu/,2年制,0.7259,N/A,N/A,N/A,N/A,,,,
Rasmussen University-Illinois,イリノイ州(IL),2384,営利,,Rockford,"6000 East State Street, 4th Floor",61108-2513,都市部,https://rasmussen.edu/,4年制,0.5586,N/A,N/A,N/A,N/A,,,,
International Institute for Restorative Practices,ペンシルベニア州(PA),,私立,,Bethlehem,531 Main Street,18018,都市部,iirp.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Automotive Training Center-Warminster,ペンシルベニア州(PA),273,営利,,Warminster,900 Johnsville Blvd,18974,郊外,www.autotraining.edu/,2年制,0.5647,N/A,N/A,N/A,N/A,,,,
Empire Beauty School-Milwaukee,ウィスコンシン州(WI),116,営利,,Milwaukee,5655 South 27th St,53221,都市部,www.empire.edu/,2年制,0.3068,N/A,N/A,N/A,N/A,,,,
Triangle Tech Inc-Bethlehem,ペンシルベニア州(PA),120,営利,,Bethlehem,3184 Airport Road,18017,都市部,https://www.triangle-tech.edu/,4年制,0.7,N/A,N/A,N/A,N/A,,,,
Milan Institute-Clovis,カリフォルニア州(CA),561,営利,,Clovis,"731 W Shaw Ave, Suite A",93612,郊外,www.milaninstitute.edu/,2年制,0.4472,N/A,N/A,N/A,N/A,,,,
Pima Medical Institute-Renton,ワシントン州(WA),551,営利,,Renton,555 South Renton Village Place Suite 110,98057,都市部,https://pmi.edu/,2年制,0.6098,N/A,N/A,N/A,N/A,,,,
CBT Technology Institute-Main Campus,フロリダ州(FL),202,営利,,Miami,8230 W Flagler St.,33144,郊外,www.cbt.edu/,2年制,0.9232,N/A,N/A,N/A,N/A,,,,
CBT Technology Institute-Hialeah,フロリダ州(FL),128,営利,,Hialeah,935 West 49 Street # 203,33012,郊外,www.cbt.edu/,2年制,0.8054,N/A,N/A,N/A,N/A,,,,
Dewey University-Juana Diaz,プエルトリコ(PR),221,私立,,Juana Diaz,"Bo. Lomas, Road 149, Km. 67.02",910,郊外,dewey.edu/,2年制,0.7863,N/A,N/A,N/A,N/A,,,,
The College of Health Care Professions-San Antonio,テキサス州(TX),660,営利,,San Antonio,4738 N. W. Loop 410,78229,都市部,chcp.edu/,2年制,0.5945,N/A,N/A,N/A,N/A,,,,
Brittany Beauty Academy,ニューヨーク州(NY),139,営利,,Bronx,210 East 188th St,10458,都市部,https://brittanyacademy.edu/,2年制,0.3673,N/A,N/A,N/A,N/A,,,,
Lincoln Technical Institute-Whitestone,ニューヨーク州(NY),697,営利,,Whitestone,15-30 Petracca Pl,11357,都市部,www.lincolntech.edu/campus/queens-ny,2年制,0.5524,N/A,N/A,N/A,N/A,,,,
American 州立 University System,ウェストバージニア州(WV),37569,営利,,Charles Town,111 W Congress St,25414,町,https://www.apus.edu/,N/A,0.523,N/A,N/A,N/A,N/A,,,,
Huntsville Bible College,アラバマ州(AL),66,私立,,Huntsville,906 Oakwood Ave,35811,都市部,www.huntsvillebiblecollege.org/,N/A,,N/A,N/A,N/A,N/A,,,,
Beaumont Adult School,カリフォルニア州(CA),81,州立,,Beaumont,1575 Cherry Ave,92223,郊外,bas.beaumontusd.us/,2年制,0.9,N/A,N/A,N/A,N/A,,,,
Gnomon,カリフォルニア州(CA),290,営利,0.4923,Hollywood,1015 N Cahuenga Blvd Ste 54301,90038,都市部,https://www.gnomon.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
