college,state,students,privateorpublic,acceptance_rate,city,address,zip,urbanicity,website,school_type,graduation_rate,GPA,Division,tuition,fields_of_study_json,student_faculty_ratio,race_ethnicity_json,sat_score,act_score
Universal Technical Institute of Arizona Inc,アリゾナ州(AZ),1972,営利,,Avondale,10695 West Pierce Street,85323,郊外,www.uti.edu/,4年制,0.5356,N/A,N/A,N/A,N/A,,,,
Yavapai College,アリゾナ州(AZ),3577,州立,,Prescott,1100 E Sheldon St,86301,都市部,https://www.yc.edu/,2年制,0.3619,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Little Rock,アーカンソー州(AR),4802,州立,0.6146,Little Rock,2801 S University Ave,72204,都市部,ualr.edu/www/,N/A,0.4087,N/A,N/A,N/A,N/A,,,,
University of Arkansas for Medical Sciences,アーカンソー州(AR),1287,州立,,Little Rock,4301 W Markham,72205-7199,都市部,https://www.uams.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Arkansas Baptist College,アーカンソー州(AR),497,私立,,Little Rock,1600 Dr. Martin Luther King Jr. Drive,72202-6068,都市部,https://www.arkansasbaptist.edu/,N/A,0.0879,N/A,N/A,N/A,N/A,,,,
Arkansas Beauty School-Little Rock,アーカンソー州(AR),98,営利,,Little Rock,8521 Geyer Springs Road Unit 30,72209,都市部,arbs.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
Arkansas Beauty College,アーカンソー州(AR),29,営利,,Russellville,109 N Commerce St,72801,町,https://www.arkansasbeautycollege.us/,2年制,0.5883,N/A,N/A,N/A,N/A,,,,
Lyon College,アーカンソー州(AR),489,私立,0.5984,Batesville,2300 Highland Road,72501,町,www.lyon.edu/,N/A,0.4203,N/A,N/A,N/A,N/A,,,,
Arkansas Technical School,アーカンソー州(AR),60,営利,,North Little Rock,200 E Washington Ave,72114,都市部,www.arktech.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
University of Arkansas,アーカンソー州(AR),26002,州立,0.7893,Fayetteville,"1125 W Maple St, Administration Bldg 425",72701,都市部,https://www.uark.edu/,N/A,0.6943,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Pine Bluff,アーカンソー州(AR),2155,州立,0.6933,Pine Bluff,1200 N University Mail Slot 4789,71601,町,www.uapb.edu/,N/A,0.4096,N/A,N/A,N/A,N/A,,,,
Arkansas State University-Beebe,アーカンソー州(AR),1829,州立,,Beebe,1000 Iowa Street,72012-1000,町,www.asub.edu/,4年制,0.387,N/A,N/A,N/A,N/A,,,,
Arkansas State University,アーカンソー州(AR),7463,州立,0.6951,Jonesboro,"2105 East, Aggie Road",72401,都市部,www.astate.edu/,N/A,0.5331,N/A,N/A,N/A,N/A,,,,
Arkansas Tech University,アーカンソー州(AR),6108,州立,0.9439,Russellville,"Administration Bldg 200, 1509 N Boulder Ave",72801-2222,町,https://www.atu.edu/,4年制,0.4728,N/A,N/A,N/A,N/A,,,,
University of Arkansas at Monticello,アーカンソー州(AR),1819,州立,,Monticello,Highway 425 South,71656,町,www.uamont.edu/,2年制,0.3577,N/A,N/A,N/A,N/A,,,,
Arthur's Beauty College,アーカンソー州(AR),37,営利,,Jacksonville,2600 John Harden Drive,72076,郊外,arthursbeautycollege.com/,2年制,0.3409,N/A,N/A,N/A,N/A,,,,
Baptist Health College Little Rock,アーカンソー州(AR),549,私立,0.8571,Little Rock,11900 COLONEL GLENN RD STE 1000,72210-2827,都市部,https://www.bhclr.edu/,4年制,,N/A,N/A,N/A,N/A,,,,
Black River Technical College,アーカンソー州(AR),1003,州立,,Pocahontas,1410 Hwy 304 East,72455,町,www.blackrivertech.edu/,2年制,0.3245,N/A,N/A,N/A,N/A,,,,
University of Central Arkansas,アーカンソー州(AR),7563,州立,0.9121,Conway,201 Donaghey Ave,72035-0001,都市部,www.uca.edu/,N/A,0.4973,N/A,N/A,N/A,N/A,,,,
Central Baptist College,アーカンソー州(AR),489,私立,0.6394,Conway,1501 College Avenue,72034,都市部,www.cbc.edu/,N/A,0.3906,N/A,N/A,N/A,N/A,,,,
Cossatot Community College of the University of Arkansas,アーカンソー州(AR),833,州立,,De Queen,183 College Drive,71832,町,www.cccua.edu/,2年制,0.4588,N/A,N/A,N/A,N/A,,,,
Crowley's Ridge College,アーカンソー州(AR),171,私立,,Paragould,100 College Dr,72450,田舎,www.crc.edu/,N/A,0.2794,N/A,N/A,N/A,N/A,,,,
East Arkansas Community College,アーカンソー州(AR),519,州立,,Forrest City,1700 Newcastle Rd,72335-2204,町,https://www.eacc.edu/,2年制,0.4073,N/A,N/A,N/A,N/A,,,,
Paul Mitchell the School-Little Rock,アーカンソー州(AR),358,営利,,North Little Rock,4201 E McCain Blvd,72117,都市部,paulmitchell.edu/littlerock,2年制,0.5789,N/A,N/A,N/A,N/A,,,,
National Park College,アーカンソー州(AR),1809,州立,,Hot Springs,101 College Dr,71913,郊外,www.np.edu/,2年制,0.2582,N/A,N/A,N/A,N/A,,,,
University of Arkansas Community College-Batesville,アーカンソー州(AR),694,州立,,Batesville,2005 White Drive,72503-3350,町,www.uaccb.edu/,2年制,0.5873,N/A,N/A,N/A,N/A,,,,
Harding University,アーカンソー州(AR),3198,私立,0.4512,Searcy,915 E. Market Ave.,72149-5615,町,www.harding.edu/,N/A,0.6833,N/A,N/A,N/A,N/A,,,,
Henderson State University,アーカンソー州(AR),1800,州立,0.7066,Arkadelphia,1100 Henderson Street,71999-0001,町,https://www.hsu.edu/,N/A,0.382,N/A,N/A,N/A,N/A,,,,
Hendrix College,アーカンソー州(AR),1127,私立,0.6028,Conway,1600 Washington Ave,72032-3080,都市部,https://www.hendrix.edu/,N/A,0.7085,N/A,N/A,N/A,N/A,,,,
Hot Springs Beauty College,アーカンソー州(AR),90,営利,,Hot Springs,100 Cones Rd,71901,都市部,hotspringsbeautycollege.com/,2年制,0.72,N/A,N/A,N/A,N/A,,,,
Jefferson Regional School of Nursing,アーカンソー州(AR),69,私立,,Pine Bluff,1600 West 40th Avenue,71603,町,www.jrmc.org/,4年制,,N/A,N/A,N/A,N/A,,,,
John Brown University,アーカンソー州(AR),1354,私立,0.5664,Siloam Springs,2000 W University St,72761,町,https://www.jbu.edu/,N/A,0.7078,N/A,N/A,N/A,N/A,,,,
Career Academy of Hair Design,アーカンソー州(AR),230,営利,,Springdale,346 E. Robinson Ave,72764-7128,都市部,www.beautynwa.com/,2年制,0.6007,N/A,N/A,N/A,N/A,,,,
Academy of Salon and Spa,アーカンソー州(AR),67,営利,,Fort Smith,311 S 16th St,72901,都市部,www.academysalonspa.com/,2年制,0.5098,N/A,N/A,N/A,N/A,,,,
Arkansas State University Mid-South,アーカンソー州(AR),455,州立,,West Memphis,2000 W.  Broadway,72301-3829,郊外,www.asumidsouth.edu/,2年制,0.3744,N/A,N/A,N/A,N/A,,,,
Arkansas Northeastern College,アーカンソー州(AR),748,州立,,Blytheville,2501 S Division,72316-1109,町,www.anc.edu/,2年制,0.3691,N/A,N/A,N/A,N/A,,,,
New Tyler Barber College Inc,アーカンソー州(AR),28,営利,,North Little Rock,1221 E 7th St,72114-4973,都市部,newtylerbarbercollege.edu/,2年制,0.6909,N/A,N/A,N/A,N/A,,,,
North Arkansas College,アーカンソー州(AR),1121,州立,,Harrison,1515 Pioneer Drive,72601-5508,町,www.northark.edu/,2年制,0.3007,N/A,N/A,N/A,N/A,,,,
Northwest Technical Institute,アーカンソー州(AR),201,州立,,Springdale,709 S Old Missouri Rd,72764,都市部,www.nwti.edu/,2年制,0.6692,N/A,N/A,N/A,N/A,,,,
Ouachita Baptist University,アーカンソー州(AR),1587,私立,0.7232,Arkadelphia,410 Ouachita St,71998-0001,町,obu.edu/,N/A,0.6592,N/A,N/A,N/A,N/A,,,,
Arkansas State University Three Rivers,アーカンソー州(AR),446,州立,,Malvern,One College Circle,72104-0816,町,www.asutr.edu/,2年制,0.331,N/A,N/A,N/A,N/A,,,,
Ozarka College,アーカンソー州(AR),614,州立,,Melbourne,218 College Dr,72556-0010,田舎,https://www.ozarka.edu/,2年制,0.4195,N/A,N/A,N/A,N/A,,,,
University of the Ozarks,アーカンソー州(AR),767,私立,0.6008,Clarksville,415 N College Ave,72830,町,https://ozarks.edu/,N/A,0.4509,N/A,N/A,N/A,N/A,,,,
University of Arkansas Community College-Morrilton,アーカンソー州(AR),1519,州立,1,Morrilton,1537 University Blvd.,72110,町,www.uaccm.edu/,2年制,0.3594,N/A,N/A,N/A,N/A,,,,
Philander Smith University,アーカンソー州(AR),766,私立,,Little Rock,900 W. Daisy Bates Drive,72202-3799,都市部,https://www.philander.edu/,N/A,0.2962,N/A,N/A,N/A,N/A,,,,
Phillips Community College of the University of Arkansas,アーカンソー州(AR),616,州立,,Helena,1000 Campus Drive,72342-0785,町,www.pccua.edu/,2年制,0.4232,N/A,N/A,N/A,N/A,,,,
Southeast Arkansas College,アーカンソー州(AR),789,州立,,Pine Bluff,1900 S Hazel Street,71603,町,https://www.seark.edu/,2年制,0.213,N/A,N/A,N/A,N/A,,,,
University of Aesthetics & Cosmetology,アーカンソー州(AR),27,営利,,El Dorado,460 North Washington,71730-4009,町,https://www.pcec.edu/,2年制,0.6,N/A,N/A,N/A,N/A,,,,
University of Arkansas-Pulaski Technical College,アーカンソー州(AR),3862,州立,,North Little Rock,3000 W Scenic Dr,72118-3347,都市部,uaptc.edu/,2年制,0.2261,N/A,N/A,N/A,N/A,,,,
University of Arkansas Hope-Texarkana,アーカンソー州(AR),704,州立,,Hope,2500 S Main,71801,町,www.uaht.edu/,2年制,0.4241,N/A,N/A,N/A,N/A,,,,
University of Arkansas Community College Rich Mountain,アーカンソー州(AR),441,州立,,Mena,1100 College Dr,71953,町,https://www.uarichmountain.edu/,2年制,0.5724,N/A,N/A,N/A,N/A,,,,
Paul Mitchell the School-Arkansas,アーカンソー州(AR),109,営利,,Fayetteville,4156 N Steele Blvd,72703,都市部,https://paulmitchell.edu/arkansas/,2年制,0.6588,N/A,N/A,N/A,N/A,,,,
Searcy Beauty College,アーカンソー州(AR),84,営利,,Searcy,1004 S Main St,72143,町,searcybeautycollege.com/,2年制,0.4318,N/A,N/A,N/A,N/A,,,,
Shorter College,アーカンソー州(AR),321,私立,,N Little Rock,604 Locust St,72114,都市部,www.shortercollege.edu/,4年制,0.1123,N/A,N/A,N/A,N/A,,,,
Williams Baptist University,アーカンソー州(AR),556,私立,0.5931,Walnut Ridge,60 W Fulbright Avenue,72476,田舎,https://williamsbaptistuniversity.com/,N/A,0.3787,N/A,N/A,N/A,N/A,,,,
South Arkansas College,アーカンソー州(AR),893,州立,,El Dorado,300 S West Ave,71731-7010,町,www.southark.edu/,2年制,0.2743,N/A,N/A,N/A,N/A,,,,
Southern Arkansas University Main Campus,アーカンソー州(AR),2787,州立,0.6361,Magnolia,100 E. University,71753,町,https://www.saumag.edu/,N/A,0.4239,N/A,N/A,N/A,N/A,,,,
Southern Arkansas University Tech,アーカンソー州(AR),672,州立,,Camden,6415 Spellman Road,71701-1906,田舎,www.sautech.edu/,2年制,0.5575,N/A,N/A,N/A,N/A,,,,
Velvatex College of Beauty Culture,アーカンソー州(AR),14,営利,,Little Rock,1520 Martin Luther King Dr,72202-5452,都市部,www.velvatexcollege.com/,2年制,0.8,N/A,N/A,N/A,N/A,,,,
University of Arkansas-Fort Smith,アーカンソー州(AR),4143,州立,,Fort Smith,5210 Grand Ave,72913-3649,都市部,https://uafs.edu/,N/A,0.3755,N/A,N/A,N/A,N/A,,,,
Academy of Art University,カリフォルニア州(CA),4485,営利,,San Francisco,79 New Montgomery,94105,都市部,www.academyart.edu/,N/A,0.4097,N/A,N/A,N/A,N/A,,,,
Academy of Chinese Culture and Health Sciences,カリフォルニア州(CA),,私立,,Oakland,"1600 Broadway, Ste. 200",94612,都市部,www.acchs.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
College of Alameda,カリフォルニア州(CA),4236,州立,,Alameda,555 Ralph Appezzato Memorial Pky,94501,郊外,https://alameda.edu/,4年制,0.3224,N/A,N/A,N/A,N/A,,,,
Allan Hancock College,カリフォルニア州(CA),7497,州立,,Santa Maria,800 South College Drive,93454-6399,都市部,www.hancockcollege.edu/,4年制,0.2824,N/A,N/A,N/A,N/A,,,,
American Academy of Dramatic Arts-Los Angeles,カリフォルニア州(CA),220,私立,0.9011,Los Angeles,1336 North La Brea Avenue,90028,都市部,www.aada.edu/,4年制,0.6085,N/A,N/A,N/A,N/A,,,,
Berkeley School of Theology,カリフォルニア州(CA),19,私立,,Berkeley,2606 Dwight Way,94704-3029,都市部,www.bst.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
American Film Institute Conservatory,カリフォルニア州(CA),,私立,,Los Angeles,2021 N Western Ave,90027-1625,都市部,www.afi.com/,N/A,,N/A,N/A,N/A,N/A,,,,
American Beauty College,カリフォルニア州(CA),234,営利,,West Covina,652 S. Sunset Ave,91790,郊外,https://www.americanbeautycollege.edu/,2年制,0.4948,N/A,N/A,N/A,N/A,,,,
American Career College-Los Angeles,カリフォルニア州(CA),1969,営利,,Los Angeles,4021 Rosewood Avenue,90004,都市部,https://americancareercollege.edu/,2年制,0.6647,N/A,N/A,N/A,N/A,,,,
American River College,カリフォルニア州(CA),24054,州立,,Sacramento,4700 College Oak Dr,95841-4286,郊外,https://www.arc.losrios.edu/,4年制,0.2821,N/A,N/A,N/A,N/A,,,,
Antelope Valley Community College District,カリフォルニア州(CA),10191,州立,,Lancaster,3041 West  Ave K,93536-5426,郊外,www.avc.edu/,4年制,0.2967,N/A,N/A,N/A,N/A,,,,
Art Center College of Design,カリフォルニア州(CA),2113,私立,0.7097,Pasadena,1700 Lida St,91103,都市部,www.artcenter.edu/,N/A,0.7565,N/A,N/A,N/A,N/A,,,,
Associated Technical College-Los Angeles,カリフォルニア州(CA),202,営利,,Los Angeles,1670 Wilshire Blvd,90017-1604,都市部,www.atcla.edu/,2年制,0.6609,N/A,N/A,N/A,N/A,,,,
Azusa Pacific University,カリフォルニア州(CA),3344,私立,0.87,Azusa,901 E Alosta,91702-7000,郊外,www.apu.edu/,N/A,0.6652,N/A,N/A,N/A,N/A,,,,
Bakersfield College,カリフォルニア州(CA),18098,州立,,Bakersfield,1801 Panorama Dr,93305-1299,都市部,https://www.bakersfieldcollege.edu/,4年制,0.2144,N/A,N/A,N/A,N/A,,,,
Barstow Community College,カリフォルニア州(CA),2496,州立,,Barstow,2700 Barstow Road,92311,町,www.barstow.edu/,4年制,0.2961,N/A,N/A,N/A,N/A,,,,
Bellus Academy-Chula Vista,カリフォルニア州(CA),398,営利,,Chula Vista,"970 Broadway, Suite 110",91911,都市部,www.bellusacademy.edu/,2年制,0.5,N/A,N/A,N/A,N/A,,,,
Bethesda University,カリフォルニア州(CA),181,私立,,Anaheim,730 N. Euclid St,92801,都市部,www.buc.edu/,N/A,0.1097,N/A,N/A,N/A,N/A,,,,
Biola University,カリフォルニア州(CA),3474,私立,0.5663,La Mirada,13800 Biola Ave,90639-0001,郊外,https://www.biola.edu/,N/A,0.7102,N/A,N/A,N/A,N/A,,,,
Brownson Technical School,カリフォルニア州(CA),264,営利,,Anaheim,1110 Technology Cir Ste D,92805,都市部,https://brownson.edu/,2年制,0.8702,N/A,N/A,N/A,N/A,,,,
Bryan University,アリゾナ州(AZ),1767,営利,,Tempe,350 W Washington St,85281,都市部,bryanuniversity.edu/,2年制,0.3148,N/A,N/A,N/A,N/A,,,,
Butte College,カリフォルニア州(CA),8676,州立,,Oroville,3536 Butte Campus Drive,95965-8399,田舎,www.butte.edu/,4年制,0.3482,N/A,N/A,N/A,N/A,,,,
California Institute of Integral Studies,カリフォルニア州(CA),87,私立,,San Francisco,1453 Mission Street,94103,都市部,https://www.ciis.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Cabrillo College,カリフォルニア州(CA),7275,州立,,Aptos,6500 Soquel Dr,95003,郊外,https://www.cabrillo.edu/,4年制,0.3382,N/A,N/A,N/A,N/A,,,,
California Baptist University,カリフォルニア州(CA),8077,私立,0.7992,Riverside,8432 Magnolia Ave,92504-3297,都市部,www.calbaptist.edu/,N/A,0.6005,N/A,N/A,N/A,N/A,,,,
California College of the Arts,カリフォルニア州(CA),1134,私立,0.7569,San Francisco,1111 Eighth Street,94107-2247,都市部,www.cca.edu/,N/A,0.6889,N/A,N/A,N/A,N/A,,,,
University of California College of the Law-San Francisco,カリフォルニア州(CA),,州立,,San Francisco,200 McAllister Street,94102-4978,都市部,www.uclawsf.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
California Institute of Technology,カリフォルニア州(CA),982,私立,0.0269,Pasadena,1200 E California Blvd,91125,都市部,www.caltech.edu/,N/A,0.9348,N/A,N/A,N/A,N/A,,,,
California Lutheran University,カリフォルニア州(CA),2510,私立,0.8718,Thousand Oaks,60 W Olsen Rd,91360-2787,都市部,www.callutheran.edu/,N/A,0.7348,N/A,N/A,N/A,N/A,,,,
California Polytechnic State University-San Luis Obispo,カリフォルニア州(CA),20976,州立,0.3043,San Luis Obispo,1 Grand Ave.,93407,郊外,calpoly.edu/,N/A,0.8543,N/A,N/A,N/A,N/A,,,,
Alliant International University-San Diego,カリフォルニア州(CA),274,営利,0,San Diego,10455 Pomerado Road,92131,都市部,https://www.alliant.edu/,2年制,0.1569,N/A,N/A,N/A,N/A,,,,
California State University-Bakersfield,カリフォルニア州(CA),8108,州立,0.8655,Bakersfield,9001 Stockdale Hwy,93311-1099,都市部,www.csub.edu/,N/A,0.4856,N/A,N/A,N/A,N/A,,,,
California State University-Stanislaus,カリフォルニア州(CA),8836,州立,0.9661,Turlock,One University Circle,95382-0299,郊外,https://www.csustan.edu/,N/A,0.5639,N/A,N/A,N/A,N/A,,,,
California State University-San Bernardino,カリフォルニア州(CA),16712,州立,0.9108,San Bernardino,5500 University Parkway,92407-2393,都市部,www.csusb.edu/,N/A,0.5574,N/A,N/A,N/A,N/A,,,,
California State Polytechnic University-Pomona,カリフォルニア州(CA),25080,州立,0.5538,Pomona,3801 W Temple Avenue,91768,郊外,www.cpp.edu/,N/A,0.6784,N/A,N/A,N/A,N/A,,,,
California State University-Chico,カリフォルニア州(CA),12853,州立,0.95,Chico,First and Normal Sts,95929-0150,都市部,www.csuchico.edu/,N/A,0.6477,N/A,N/A,N/A,N/A,,,,
California State University-Dominguez Hills,カリフォルニア州(CA),13903,州立,0.8913,Carson,1000 E Victoria St,90747-0005,都市部,https://www.csudh.edu/,N/A,0.4951,N/A,N/A,N/A,N/A,,,,
California State University-Fresno,カリフォルニア州(CA),20985,州立,0.9543,Fresno,5241 N Maple Ave,93740,都市部,www.fresnostate.edu/,N/A,0.5641,N/A,N/A,N/A,N/A,,,,
California State University-Fullerton,カリフォルニア州(CA),35249,州立,0.6672,Fullerton,800 N. State College Blvd.,92832-3599,郊外,www.fullerton.edu/,N/A,0.7039,N/A,N/A,N/A,N/A,,,,
California State University-East Bay,カリフォルニア州(CA),10709,州立,0.962,Hayward,25800 Carlos Bee Blvd,94542,郊外,https://www.csueastbay.edu/,N/A,0.4704,N/A,N/A,N/A,N/A,,,,
California State University-Long Beach,カリフォルニア州(CA),32780,州立,0.3995,Long Beach,1250 Bellflower Blvd,90840-0115,都市部,www.csulb.edu/,N/A,0.741,N/A,N/A,N/A,N/A,,,,
California State University-Los Angeles,カリフォルニア州(CA),22690,州立,0.8694,Los Angeles,5151 State University Dr,90032-8506,都市部,https://www.calstatela.edu/,N/A,0.5166,N/A,N/A,N/A,N/A,,,,
California State University-Northridge,カリフォルニア州(CA),32103,州立,0.9123,Northridge,18111 Nordhoff St,91330,都市部,https://www.csun.edu/,N/A,0.55,N/A,N/A,N/A,N/A,,,,
California State University-Sacramento,カリフォルニア州(CA),28544,州立,0.9321,Sacramento,6000 J St,95819-2694,都市部,https://www.csus.edu/,N/A,0.5595,N/A,N/A,N/A,N/A,,,,
University of California-Berkeley,カリフォルニア州(CA),32475,州立,0.1133,Berkeley,200 California Hall,94720,都市部,www.berkeley.edu/,N/A,0.9346,N/A,N/A,N/A,N/A,,,,
University of California-Davis,カリフォルニア州(CA),31512,州立,0.3734,Davis,One Shields Avenue,95616-8678,郊外,ucdavis.edu/,N/A,0.8663,N/A,N/A,N/A,N/A,,,,
University of California-Irvine,カリフォルニア州(CA),28651,州立,0.2115,Irvine,501 Aldrich Hall,92697,都市部,www.uci.edu/,N/A,0.8523,N/A,N/A,N/A,N/A,,,,
University of California-Los Angeles,カリフォルニア州(CA),32423,州立,0.0857,Los Angeles,405 Hilgard Ave,90095-1405,都市部,www.ucla.edu/,N/A,0.9232,N/A,N/A,N/A,N/A,,,,
University of California-Riverside,カリフォルニア州(CA),22842,州立,0.6869,Riverside,900 University Ave,92521,都市部,www.ucr.edu/,N/A,0.7621,N/A,N/A,N/A,N/A,,,,
University of California-San Diego,カリフォルニア州(CA),33092,州立,0.2371,La Jolla,9500 Gilman Dr,92093,都市部,www.ucsd.edu/,N/A,0.8851,N/A,N/A,N/A,N/A,,,,
University of California-San Francisco,カリフォルニア州(CA),,州立,,San Francisco,500 Parnassus Ave,94143-0244,都市部,ucsf.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
University of California-Santa Barbara,カリフォルニア州(CA),23419,州立,0.2585,Santa Barbara,5221 Cheadle Hall,93106,郊外,www.ucsb.edu/,N/A,0.8553,N/A,N/A,N/A,N/A,,,,
University of California-Santa Cruz,カリフォルニア州(CA),17502,州立,0.4692,Santa Cruz,1156 High St,95064-1011,都市部,www.ucsc.edu/,N/A,0.7746,N/A,N/A,N/A,N/A,,,,
Sofia University,カリフォルニア州(CA),11,営利,,Palo Alto,1069 East Meadow Cr,94303,都市部,www.sofia.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
California Beauty School,カリフォルニア州(CA),55,営利,,Modesto,1115 15th St,95354,都市部,www.calbeautycollege.edu/,2年制,0.8519,N/A,N/A,N/A,N/A,,,,
Haven University,カリフォルニア州(CA),26,私立,,Garden Grove,12761 Euclid St.,92840-1340,郊外,www.haven.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
California Hair Design Academy,カリフォルニア州(CA),144,営利,,La Mesa,"8011 University Avenue, Suite A-2",91942-5055,郊外,https://chdaschools.com/,2年制,0.8269,N/A,N/A,N/A,N/A,,,,
California Institute of the Arts,カリフォルニア州(CA),931,私立,0.2476,Valencia,24700 W McBean Pky,91355-2397,郊外,https://www.calarts.edu/,N/A,0.6757,N/A,N/A,N/A,N/A,,,,
California State University Maritime Academy,カリフォルニア州(CA),808,州立,0.955,Vallejo,200 Maritime Academy Dr,94590-8181,都市部,https://www.csum.edu/,N/A,0.6557,N/A,N/A,N/A,N/A,,,,
California Western School of Law,カリフォルニア州(CA),,私立,,San Diego,225 Cedar St,92101-3046,都市部,https://www.cwsl.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Canada College,カリフォルニア州(CA),4271,州立,,Redwood City,4200 Farm Hill Blvd.,94061-1099,郊外,canadacollege.edu/,4年制,0.3537,N/A,N/A,N/A,N/A,,,,
College of the Canyons,カリフォルニア州(CA),15977,州立,,Santa Clarita,26455 Rockwell Canyon Rd,91355-1899,郊外,www.canyons.edu/,4年制,0.4247,N/A,N/A,N/A,N/A,,,,
Career Academy of Beauty,カリフォルニア州(CA),205,営利,,Garden Grove,12471 Valley View,92845,郊外,caofb.com/,2年制,0.7531,N/A,N/A,N/A,N/A,,,,
Casa Loma College-Los Angeles,カリフォルニア州(CA),415,私立,0.4,Sherman Oaks,15301 Ventura Blvd. Suite D-100,91403,都市部,https://www.casalomacollege.edu/,4年制,0.4815,N/A,N/A,N/A,N/A,,,,
CET-San Diego,カリフォルニア州(CA),196,私立,,San Diego,4153 Market Street,92102,都市部,https://www.cetweb.edu/,2年制,0.6816,N/A,N/A,N/A,N/A,,,,
CET-San Jose,カリフォルニア州(CA),183,私立,,San Jose,701 Vine St,95110,都市部,https://cetweb.edu/,2年制,0.639,N/A,N/A,N/A,N/A,,,,
CET-El Centro,カリフォルニア州(CA),148,私立,,El Centro,294 S 3rd St,92243,都市部,https://cetweb.edu/,2年制,0.8502,N/A,N/A,N/A,N/A,,,,
CET-Colton,カリフォルニア州(CA),96,私立,,Colton,1099 N. Pepper Ave,92324,郊外,https://cetweb.edu/,2年制,0.6453,N/A,N/A,N/A,N/A,,,,
CET-Watsonville,カリフォルニア州(CA),103,私立,,Watsonville,10 Blanca Lane,95076,都市部,https://www.cetweb.edu/,2年制,0.7192,N/A,N/A,N/A,N/A,,,,
CET-Salinas,カリフォルニア州(CA),157,私立,,Salinas,24 East Alvin Drive,93906,都市部,https://cetweb.edu/,2年制,0.6056,N/A,N/A,N/A,N/A,,,,
Cerritos College,カリフォルニア州(CA),18001,州立,,Norwalk,11110 Alondra Blvd,90650-6298,郊外,www.cerritos.edu/,2年制,0.3107,N/A,N/A,N/A,N/A,,,,
Cerro Coso Community College,カリフォルニア州(CA),3439,州立,,Ridgecrest,3000 College Heights Blvd,93555-9571,田舎,https://cerrocoso.edu/,4年制,0.2773,N/A,N/A,N/A,N/A,,,,
Chabot College,カリフォルニア州(CA),9750,州立,,Hayward,25555 Hesperian Blvd,94545,郊外,www.chabotcollege.edu/,4年制,0.3555,N/A,N/A,N/A,N/A,,,,
Chaffey College,カリフォルニア州(CA),15342,州立,,Rancho Cucamonga,5885 Haven Ave,91737-3002,郊外,https://www.chaffey.edu/,4年制,0.2802,N/A,N/A,N/A,N/A,,,,
Chapman University,カリフォルニア州(CA),7665,私立,0.7252,Orange,One University Dr.,92866,都市部,https://www.chapman.edu/,N/A,0.8182,N/A,N/A,N/A,N/A,,,,
Charles R Drew University of Medicine and Science,カリフォルニア州(CA),238,私立,0.8046,Los Angeles,1731 E 120th St,90059,郊外,www.cdrewu.edu/,4年制,,N/A,N/A,N/A,N/A,,,,
Concordia University-Irvine,カリフォルニア州(CA),1691,私立,0.6899,Irvine,1530 Concordia West,92612-3203,都市部,www.cui.edu/,N/A,0.6527,N/A,N/A,N/A,N/A,,,,
San Diego Christian College,カリフォルニア州(CA),328,私立,,Santee,280 Riverview Parkway,92071,郊外,sdcc.edu/,N/A,0.4228,N/A,N/A,N/A,N/A,,,,
Church Divinity School of the Pacific,カリフォルニア州(CA),,私立,,Berkeley,2451 Ridge Road,94709-1211,都市部,www.cdsp.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Citrus College,カリフォルニア州(CA),8139,州立,,Glendora,1000 W Foothill Blvd,91741-1899,郊外,https://www.citruscollege.edu/,2年制,0.4102,N/A,N/A,N/A,N/A,,,,
Citrus Heights Beauty College,カリフォルニア州(CA),143,営利,,Citrus Heights,7518 Baird Way,95610-1410,郊外,chbeautycollege.com/,2年制,0.6547,N/A,N/A,N/A,N/A,,,,
City College of San Francisco,カリフォルニア州(CA),14593,州立,,San Francisco,50 Frida Kahlo Drive,94112-1898,都市部,www.ccsf.edu/,2年制,0.372,N/A,N/A,N/A,N/A,,,,
Claremont Graduate University,カリフォルニア州(CA),,私立,,Claremont,150 E Tenth St,91711-6160,郊外,www.cgu.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Claremont McKenna College,カリフォルニア州(CA),1383,私立,0.1035,Claremont,500 E 9th St,91711-6400,郊外,www.cmc.edu/,N/A,0.9202,N/A,N/A,N/A,N/A,,,,
Milan Institute-Visalia,カリフォルニア州(CA),489,営利,,Visalia,6500 S. Mooney Blvd.,93277,都市部,www.milaninstitute.edu/,2年制,0.4905,N/A,N/A,N/A,N/A,,,,
Clovis Adult Education,カリフォルニア州(CA),206,州立,,Clovis,1452 David E Cook Way,93611,郊外,clovisadult.cusd.com/,2年制,0.8297,N/A,N/A,N/A,N/A,,,,
